"","Oxy4x_01","Oxy4x_02","Oxy4x_03","Oxy4x_04","Oxy4x_05","Oxy4x_06","Oxy4x_07","Oxy4x_08","Oxy4x_09","Oxy4x_10","Oxy4x_11","Oxy4x_12","Oxy4x_13","Oxy4x_14","Oxy4x_15","Oxy4x_16","Oxy4x_17","Oxy4x_18"
"chr03_035523338",2,0,3,0,2,1,1,2,0,0,0,0,0,0,1,0,0,0
"chr03_035906951",4,4,3,4,4,4,3,3,4,4,3,3,3,4,3,4,4,4
"chr03_035909856",1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3
"chr03_036236252",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr03_036618909",3,4,3,3,4,3,3,4,2,4,4,4,4,4,4,3,4,4
"chr04_000422237",3,4,4,4,3,4,4,4,4,4,4,4,4,4,0,4,3,4
"chr04_000629659",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
"chr04_000976297",1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2
"chr04_001957006",3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,2
"chr04_002345551",4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
"chr04_002345618",0,1,0,0,0,1,2,2,1,0,1,1,1,0,4,0,2,2
"chr04_002471441",4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,3
"chr04_002576971",2,0,1,0,1,2,0,1,0,1,1,2,2,0,3,0,3,2
"chr04_003075775",0,1,4,1,1,1,4,3,1,3,0,2,0,1,1,3,4,4
"chr04_003133075",4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
"chr04_003408393",3,1,3,4,4,1,1,1,0,1,4,1,4,1,3,0,4,2
"chr04_003408577",1,1,1,1,0,0,1,1,0,0,1,0,1,0,2,0,2,2
"chr04_003588119",4,1,4,4,4,4,4,4,4,2,4,0,4,4,4,4,3,3
"chr04_003653089",1,2,1,1,3,1,2,1,0,1,0,1,0,0,2,0,2,1
"chr04_003682800",0,2,0,0,2,0,2,0,2,2,0,1,0,0,0,0,2,0
"chr04_003683243",3,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3
"chr04_003934053",3,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4
"chr04_004233955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"chr04_005480937",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"chr04_006557529",1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,4,1,0
"chr04_006678351",4,2,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4
"chr04_006700385",4,4,3,4,4,4,4,4,3,4,2,2,3,4,4,4,4,4
"chr04_006719136",0,2,1,2,1,1,4,0,4,3,4,2,4,1,4,0,4,0
"chr04_006748165",0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,1,0
"chr04_006748357",4,2,0,1,0,1,1,3,2,2,2,1,1,1,2,2,2,2
"chr04_007550755",0,2,1,2,3,3,1,2,2,2,2,3,3,1,2,1,1,2
"chr04_007550836",1,2,4,4,4,4,4,3,4,3,3,4,4,2,4,1,3,3
"chr04_008048981",2,3,2,4,4,3,4,3,3,4,3,4,3,4,4,4,4,3
"chr04_008367846",4,2,4,4,4,4,3,2,2,1,4,4,4,3,2,4,3,4
"chr04_008472669",4,1,2,2,2,1,2,2,0,1,4,3,4,2,1,0,2,3
"chr04_008592094",4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr04_008894914",2,1,4,3,4,4,3,4,1,3,0,4,1,2,2,4,3,4
"chr04_008894970",4,4,3,3,0,2,4,3,4,4,4,4,4,3,4,4,4,3
"chr04_008895117",1,1,2,2,0,0,1,0,0,1,0,0,3,1,0,1,2,0
"chr04_009366306",1,2,1,1,1,0,1,1,1,2,2,2,3,1,0,2,1,1
"chr04_009584740",1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,1
"chr04_009760802",3,4,4,4,4,3,3,4,4,4,4,3,4,4,4,3,3,4
"chr04_010267155",4,1,1,2,4,4,4,4,2,4,1,1,3,1,0,2,3,3
"chr04_012140979",4,3,4,4,3,4,4,4,4,4,3,4,3,4,3,4,4,3
"chr04_012566505",2,0,1,0,2,0,1,2,1,0,0,2,2,0,0,1,1,2
"chr04_012633210",4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3
"chr04_013350018",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr04_013350194",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,3
"chr04_013382966",4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3
"chr04_013456446",2,4,4,4,3,3,2,4,4,3,4,4,4,4,4,3,4,4
"chr04_015584655",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"chr04_016990270",4,4,4,4,2,2,4,1,4,4,4,4,4,4,4,4,4,4
"chr04_017098678",4,4,3,4,4,4,4,4,3,4,4,4,4,2,4,2,4,3
"chr04_018665615",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr04_019914195",4,0,0,0,1,2,0,1,1,1,0,0,0,0,0,2,0,1
"chr04_020916095",4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4
"chr04_022358348",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr04_023024557",4,4,4,3,3,3,4,4,4,3,4,4,4,4,3,3,4,3
"chr04_024191050",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"chr04_024252554",4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4
"chr04_024611083",4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr04_025112157",4,2,2,3,4,4,2,4,4,3,3,4,4,4,4,3,4,4
"chr04_025274056",4,3,2,3,3,3,3,4,3,4,3,3,4,4,4,4,4,3
"chr04_025376659",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr04_025379138",4,3,2,4,2,3,2,4,2,4,4,2,4,4,4,4,4,0
"chr04_025821586",4,3,2,1,3,3,3,4,4,2,0,3,4,4,4,4,3,4
"chr04_025821709",4,4,4,3,3,2,4,4,4,3,0,4,4,4,4,4,4,4
"chr04_025862464",4,4,4,2,0,0,4,4,4,2,0,4,4,4,4,4,4,4
"chr04_026748307",4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4
"chr04_026748347",4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr04_026902977",0,0,0,0,2,2,4,0,0,0,0,0,1,0,0,0,0,0
"chr04_027470101",4,4,4,4,1,1,4,4,4,3,4,4,2,4,4,4,4,4
"chr04_027755679",0,4,3,2,4,3,4,2,4,2,4,3,4,4,2,3,3,2
"chr04_028334542",0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"chr04_028779073",3,0,2,1,1,0,0,2,0,0,0,1,1,0,2,0,0,0
"chr04_029424843",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"chr04_029424994",3,2,3,2,2,3,0,2,1,2,3,1,4,0,1,1,3,1
"chr04_029611178",0,0,0,4,0,0,1,0,0,0,1,2,2,2,0,0,1,0
"chr04_029943956",0,0,0,2,4,4,3,2,4,1,1,0,2,4,4,1,4,4
"chr04_030073526",3,4,4,0,4,4,2,2,2,4,4,4,3,4,3,4,3,4
"chr04_030822144",4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
"chr04_031346966",3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"chr04_031546210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"chr04_031943082",4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,3,4,4
"chr04_032250699",0,0,1,1,2,2,0,2,1,1,1,1,1,0,0,0,2,2
"chr04_032250770",0,0,1,1,2,2,0,2,1,1,1,1,1,0,0,0,2,2
"chr04_032465807",4,3,4,4,4,4,3,3,4,4,3,2,4,3,3,4,4,4
"chr04_032466998",4,3,4,4,4,4,3,3,4,4,3,2,4,3,3,4,4,4
"chr04_033320705",0,1,0,1,0,0,0,0,2,4,4,2,3,1,1,0,0,1
"chr04_033354334",4,4,2,4,3,2,4,4,4,4,4,4,4,3,3,4,4,2
"chr04_033543459",4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr04_034392819",4,4,4,3,4,4,3,2,4,4,2,4,2,2,3,4,4,2
"chr04_035944546",1,3,1,2,1,0,0,0,2,1,0,3,0,0,0,3,0,1
"chr04_036321735",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"chr04_036734071",3,4,2,2,3,3,3,3,4,4,0,4,2,3,4,2,3,2
"chr05_000142049",4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
"chr05_000142187",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr05_000375385",3,2,3,3,3,4,4,4,2,3,3,4,3,4,3,4,3,4
"chr05_000932858",4,3,2,4,4,3,4,4,4,4,4,2,3,3,3,4,4,4
"chr05_000932945",4,3,1,4,4,3,4,4,4,4,4,0,3,2,3,4,4,4
"chr05_001422004",2,3,1,4,2,1,0,0,0,2,3,2,4,0,1,0,0,3
"chr05_001422111",1,2,1,3,2,1,0,0,0,1,2,1,3,0,1,0,0,3
"chr05_001424374",4,4,4,4,4,4,4,3,4,4,3,4,4,4,2,4,4,4
"chr05_001625255",0,1,2,2,1,1,0,0,0,0,3,1,2,0,2,0,0,2
"chr05_002164301",4,2,2,3,2,2,4,3,4,3,4,2,3,3,4,4,4,4
"chr05_002694477",3,3,4,3,4,3,4,4,3,4,3,4,3,2,1,3,4,4
"chr05_002694553",4,3,4,3,4,3,4,4,4,4,3,4,3,4,1,3,4,4
"chr05_002699189",4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr05_002860471",1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0
"chr05_003200172",2,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2
"chr05_003620367",2,0,0,2,4,4,1,4,0,4,0,4,0,0,2,0,0,4
"chr05_003704038",4,4,3,2,3,3,3,4,4,1,4,3,4,4,4,4,3,4
"chr05_005362947",0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0
"chr05_005404827",4,4,2,0,0,0,0,2,0,1,2,0,2,4,2,4,2,0
"chr05_006598078",0,0,1,1,2,1,1,1,0,1,2,2,0,1,1,1,1,3
"chr05_006598158",4,4,2,2,0,1,4,2,4,2,0,1,4,1,4,2,0,2
"chr05_006612936",0,0,1,1,2,1,0,1,0,1,2,2,0,1,0,1,1,3
"chr05_006613086",3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4
"chr05_006840110",4,4,4,4,4,4,4,4,3,4,3,4,3,4,0,4,3,4
"chr05_007195929",2,0,1,0,1,1,2,3,0,2,0,0,1,1,0,0,0,4
"chr05_007564099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
"chr05_007564251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
"chr05_008723187",1,2,0,2,2,1,2,2,4,2,1,1,0,2,3,1,2,4
"chr05_008723360",1,0,0,2,0,0,0,2,3,0,1,1,0,2,1,1,1,2
"chr05_008723385",4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr05_009794297",2,1,4,3,2,1,4,4,4,3,3,2,4,3,3,3,3,4
"chr05_009794400",4,4,1,3,2,3,1,1,2,4,3,4,2,3,3,1,2,3
"chr05_009794428",3,2,4,3,2,3,4,4,4,4,4,4,4,3,2,0,4,4
"chr05_010024641",3,0,0,1,1,1,1,2,0,0,3,2,1,1,1,1,1,3
"chr05_010947758",4,4,4,4,3,3,3,4,2,1,4,2,3,4,2,4,3,4
"chr05_011759994",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"chr05_012182477",1,0,3,2,3,3,0,2,1,1,3,3,4,1,2,1,1,3
"chr05_012706974",3,3,3,3,3,4,3,3,3,3,4,4,4,2,4,2,3,3
"chr05_012707007",3,3,2,1,0,1,2,4,0,0,1,0,1,0,1,0,2,1
"chr05_015381202",1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"chr05_017066492",1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,4,0,1
"chr05_017092581",3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
"chr05_019320437",3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4
"chr05_020012129",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr05_021649494",1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,3,1
"chr05_021649641",2,4,4,2,4,4,2,2,4,4,4,4,4,4,4,3,0,2
"chr05_022614172",4,3,4,1,1,3,3,4,4,4,4,4,3,3,4,4,4,3
"chr05_022990985",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4
"chr05_024093647",4,2,2,4,1,1,1,3,1,2,3,2,2,2,3,2,0,2
"chr05_024095355",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"chr05_024152160",1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,2,0
"chr05_024154343",4,4,4,3,4,4,4,3,4,4,3,2,2,4,4,2,4,4
"chr05_024746401",0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
"chr05_024776317",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr05_024790533",3,2,1,2,3,4,2,4,3,3,3,4,4,3,3,2,3,4
"chr05_025502129",4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"chr05_026052101",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"chr05_026052220",2,4,2,4,4,3,4,3,2,3,4,3,4,4,4,4,4,3
"chr05_026052303",2,4,2,4,4,3,4,3,1,3,4,3,4,4,4,4,4,3
"chr05_026126432",4,4,4,4,4,4,4,1,4,4,2,4,2,0,4,4,0,3
"chr05_026586947",4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,2,4,4
"chr05_027466108",2,2,0,3,4,1,0,1,2,1,0,0,0,0,1,3,0,0
"chr05_027473429",2,3,4,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4
"chr05_027894180",0,2,0,4,0,0,1,1,2,2,1,4,1,2,4,0,0,4
"chr05_028399461",4,0,4,4,4,3,1,2,4,4,4,4,4,4,2,4,4,4
"chr05_028807067",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"chr05_029327001",3,4,1,4,3,4,4,4,4,3,4,4,4,2,4,4,3,4
"chr05_029951087",1,3,0,0,0,2,0,0,1,1,2,0,2,2,4,1,1,1
"chr05_030200929",4,3,0,4,1,3,0,2,4,3,1,2,0,3,2,4,4,2
"chr05_030201038",4,4,4,4,3,3,2,4,4,4,4,3,4,3,2,4,4,2
"chr05_030201104",0,1,0,0,2,0,0,3,0,1,3,1,4,0,0,0,0,0
"chr05_030205493",2,0,4,2,2,4,4,4,4,2,4,2,3,1,3,4,4,4
"chr05_030205620",0,2,0,2,2,4,4,2,4,0,4,3,3,1,2,2,2,2
"chr05_030351362",0,0,0,4,4,1,0,0,4,0,0,1,0,1,0,1,0,0
"chr05_030351513",4,0,4,4,4,2,2,4,4,4,4,2,3,2,0,4,4,2
"chr05_030496551",1,0,4,0,0,0,2,1,0,0,2,1,2,0,1,0,0,4
"chr05_030496574",0,0,4,0,0,0,4,0,0,0,0,4,1,0,2,0,0,0
"chr05_030496749",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"chr05_030879566",0,2,1,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0
"chr05_030905635",3,2,4,1,1,2,4,4,2,2,4,4,4,3,2,1,3,2
"chr05_030920699",2,4,4,3,3,2,4,4,2,4,4,4,4,3,4,2,3,4
"chr05_030983784",3,4,4,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4
"chr05_032131430",4,4,4,2,4,4,0,4,4,4,3,2,4,2,3,4,3,4
"chr06_000197825",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"chr06_000197937",2,2,0,0,1,0,2,0,0,1,0,2,0,2,0,0,0,0
"chr06_001251920",3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4
"chr06_001594538",0,1,1,0,1,1,3,2,0,2,0,0,0,0,2,1,1,0
"chr06_002482038",1,0,4,2,0,0,1,4,2,2,2,4,4,0,4,2,0,4
"chr06_002886330",1,1,1,2,1,1,1,1,1,1,2,1,1,3,2,1,2,1
"chr06_003325915",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"chr06_003614925",4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,0,4,0
"chr06_004094679",4,3,3,4,4,4,4,4,3,4,3,4,3,3,4,4,4,3
"chr06_004226496",1,1,2,2,1,2,1,0,1,2,1,2,1,1,0,0,1,2
"chr06_004356702",0,2,0,2,0,0,1,0,3,1,2,1,2,0,2,2,2,1
"chr06_004364177",2,4,1,4,4,2,4,4,3,2,4,4,4,2,4,4,4,3
"chr06_004720381",4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2
"chr06_004965663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"chr06_006181707",0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,2
"chr06_006390622",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"chr06_006625071",4,0,0,2,4,4,0,1,0,0,4,0,4,4,0,4,0,4
"chr06_007430546",4,1,2,4,4,4,0,2,0,2,3,2,2,3,0,4,4,0
"chr06_008800103",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"chr06_009780406",3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr06_010144506",0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
"chr06_010632680",1,4,2,0,0,0,0,0,1,0,1,4,3,1,4,2,0,0
"chr06_011048637",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"chr06_011305979",3,3,4,3,4,4,2,4,3,4,4,4,4,2,4,3,4,4
"chr06_011306037",3,3,4,3,4,4,3,4,3,4,4,4,4,2,4,3,4,4
"chr06_012510129",2,0,0,0,0,0,0,0,0,0,2,2,1,1,0,2,0,1
"chr06_012837292",0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1
"chr06_013934005",3,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,0,4
"chr06_014435074",2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2
"chr06_015976994",1,2,2,2,4,4,1,3,2,2,4,3,4,1,4,1,1,0
"chr06_016124158",0,1,0,4,2,2,3,0,2,3,4,3,4,4,3,2,4,0
"chr06_016952367",4,4,3,3,0,0,4,4,4,3,2,4,2,4,4,4,4,4
"chr06_017612111",4,1,4,4,4,2,0,4,4,2,3,2,3,3,4,4,1,1
"chr06_018068021",1,0,0,1,2,1,0,1,0,0,0,0,0,1,0,1,0,1
"chr06_019152772",3,2,4,4,4,4,4,4,3,4,3,3,3,4,4,4,3,2
"chr06_019677446",4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,3
"chr06_020864310",4,3,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4
"chr06_022324217",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"chr06_022712475",4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4
"chr06_023154622",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1
"chr06_024490439",4,1,2,1,4,4,1,2,1,0,4,4,0,0,0,0,4,4
"chr06_025571656",4,2,4,3,4,4,3,4,4,3,4,4,4,2,4,4,4,4
"chr06_026439248",4,2,2,2,4,4,4,4,4,4,1,4,3,4,1,0,4,3
"chr06_026746365",3,3,1,0,2,0,0,0,4,3,0,2,2,2,2,2,3,2
"chr06_026746431",4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4
"chr06_027605647",4,0,2,4,4,4,4,0,3,4,0,4,4,4,0,4,0,4
"chr06_028048998",0,0,1,0,0,0,0,1,1,0,1,2,0,0,0,1,3,1
"chr06_029856646",4,4,0,4,4,4,4,4,3,3,2,4,4,4,4,1,4,1
"chr06_030365142",4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"chr06_030365248",4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4
"chr06_032013974",4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,3,3
"chr06_032422241",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
"chr06_032430270",4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr06_033423108",4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,2
"chr06_033839673",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4
"chr06_034413312",3,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4
"chr06_034606099",4,4,4,4,4,3,4,4,4,4,4,2,4,2,2,3,2,4
"chr06_034643731",4,4,4,4,4,4,3,4,4,4,4,3,4,2,4,4,2,4
"chr06_034766145",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
"chr06_035060429",4,4,4,3,4,4,3,4,3,4,4,3,4,2,2,4,2,4
"chr06_035200046",2,2,2,2,0,0,0,1,0,4,0,2,4,2,2,4,0,0
"chr06_035518356",4,4,4,4,4,4,4,4,4,0,4,4,4,4,1,4,4,4
"chr06_036508915",4,4,1,4,2,0,2,4,4,0,2,2,4,3,4,3,0,2
"chr06_036724266",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"chr06_036779706",0,0,0,4,1,2,2,2,0,0,0,4,0,1,0,0,2,4
"chr06_037116119",0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1
"chr06_037346972",4,4,4,4,4,4,4,1,4,2,2,3,0,3,3,2,4,4
"chr06_037347029",2,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,2,0
"chr06_038027474",1,0,1,1,0,0,1,0,1,0,0,2,1,1,0,1,0,1
"chr06_038338641",4,4,4,4,3,3,3,3,3,4,3,1,3,3,4,3,4,3
"chr06_039380698",1,2,4,2,4,4,1,2,2,0,0,0,0,2,4,2,2,0
"chr06_039543187",1,0,4,4,1,2,2,2,3,3,3,3,2,2,2,2,2,2
"chr06_040284475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"chr07_000387248",0,4,4,4,4,4,4,4,4,4,2,4,2,0,4,4,4,1
"chr07_000730085",0,2,0,4,3,0,0,4,0,0,4,0,3,1,0,2,2,2
"chr07_000800794",1,4,4,0,2,1,1,2,0,4,4,4,4,2,1,1,0,4
"chr07_001366516",0,1,1,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0
"chr07_001366597",4,3,2,4,2,4,2,3,4,4,0,2,0,0,0,4,4,1
"chr07_001413687",4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,3,4
"chr07_001466226",2,2,3,4,3,3,4,3,3,4,3,4,4,4,4,3,3,3
"chr07_001562431",4,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
"chr07_001733994",0,4,2,0,2,1,0,4,4,0,0,0,0,0,0,0,0,0
"chr07_002436899",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"chr07_002440250",0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0
"chr07_002467080",0,0,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,1
"chr07_002476957",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"chr07_002897486",0,0,0,0,2,0,1,1,0,0,4,1,4,4,0,3,1,2
"chr07_002897512",4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
"chr07_002897585",0,0,0,0,1,0,1,1,0,0,4,1,4,4,0,2,1,1
"chr07_002897639",0,0,0,0,1,0,1,1,0,0,4,1,4,4,0,3,1,2
"chr07_003169496",4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr07_003169613",0,1,1,0,1,2,1,2,2,0,2,0,2,2,1,1,3,1
"chr07_003200721",0,0,0,0,0,0,0,2,1,2,2,1,1,0,1,2,0,2
"chr07_003241755",1,2,0,0,0,0,0,2,1,4,0,4,0,1,4,1,0,2
"chr07_004249521",2,1,2,3,0,2,0,3,1,2,2,1,2,1,1,2,2,0
"chr07_004374004",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"chr07_004374035",0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
"chr07_004597753",1,3,2,1,0,1,1,1,2,1,1,1,0,2,0,1,3,1
"chr07_004607244",3,1,3,3,4,3,3,4,3,4,3,3,4,2,4,3,2,1
"chr07_004686735",0,4,0,4,4,3,0,2,4,2,2,2,4,2,4,2,3,2
"chr07_005218969",4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4
"chr07_005445330",4,4,3,4,4,2,4,3,4,2,2,4,2,4,4,4,2,2
"chr07_006240282",2,4,3,4,3,3,2,4,4,4,4,0,2,2,4,0,4,4
"chr07_006526479",0,4,3,4,4,3,3,3,4,4,4,1,3,4,4,4,4,4
"chr07_006565088",2,1,2,0,1,1,2,2,0,1,1,2,2,1,1,2,1,2
"chr07_006694012",0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,2
"chr07_007183441",0,0,0,3,1,2,0,4,2,0,2,4,1,2,0,2,4,1
"chr07_007356859",1,0,0,1,3,1,1,1,0,0,0,0,1,1,0,0,0,0
"chr07_007384635",3,4,4,4,1,2,3,3,3,4,4,4,4,4,4,2,4,3
"chr07_007384695",1,4,3,4,1,2,2,1,0,4,3,4,3,3,2,3,3,3
"chr07_007384761",0,4,2,3,1,2,1,1,0,3,2,3,0,0,1,1,2,2
"chr07_007486500",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"chr07_007640327",4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr07_008578559",4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4
"chr07_008857674",3,4,3,3,4,3,3,2,4,1,4,3,4,4,4,4,3,2
"chr07_009901825",4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr07_010243734",2,2,3,2,2,2,2,2,2,0,3,3,3,2,1,2,1,2
"chr07_010243856",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"chr07_010251972",3,0,3,4,3,3,0,2,0,4,0,4,2,4,4,0,4,3
"chr07_011395990",0,0,0,0,1,1,0,1,0,2,1,0,1,1,1,0,0,1
"chr07_011855183",4,4,3,4,3,4,4,2,2,3,3,4,3,3,4,3,4,3
"chr07_012059444",4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3
"chr07_014926338",4,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,3,4
"chr07_015408409",3,2,4,2,2,0,1,3,2,2,3,3,3,4,3,4,2,2
"chr07_015748250",3,4,4,3,2,4,4,4,4,4,3,4,3,4,4,4,4,3
"chr07_017980443",4,0,1,4,2,1,2,0,2,1,2,0,4,0,4,0,4,2
"chr07_017980539",4,0,1,4,2,1,2,0,1,0,0,0,4,1,4,0,4,2
"chr07_023352019",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"chr07_024404078",3,4,3,4,0,3,4,4,0,4,4,4,3,0,4,4,4,3
